Location,Region,species abbreviation,species,genus,family,fish ID,run,lane,size (BL),stage,Ucrit,cohort date,measurement date,temperature ,publication,,,comment,,,,note to Becky
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.9.5,9,5,5.4,flex,1.6,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.9.6,9,6,6.2,flex,6.0,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.10.1,10,1,5.9,flex,3.3,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.10.2,10,2,4.6,flex,1.3,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.10.3,10,3,5.8,flex,1.7,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.10.4,10,4,6,flex,4.5,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.10.5,10,5,5.8,post,8.7,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.10.6,10,6,4.8,pre,1.1,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.11.2,1,2,8.3,post,10.1,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.11.3,1,3,9.3,post,7.4,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.11.4,1,4,5.7,post,5.1,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.11.5,1,5,8,post,11.0,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.11.6,1,6,7.5,post,9.7,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.12.1,2,1,8.3,post,7.5,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.12.2,2,2,7.8,post,6.8,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.12.3,2,3,8.8,post,4.8,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.12.4,2,4,8,post,8.1,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.12.5,2,5,8,post,0.8,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.12.6,2,6,8,post,2.4,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.13.1,3,1,8.5,post,10.1,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.13.2,3,2,9,post,8.5,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.13.3,3,3,7.7,post,,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.13.4,3,4,8,post,8.1,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.13.5,3,5,8,post,1.1,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.13.6,3,6,7.3,post,5.4,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.14.1,4,1,7.7,post,5.8,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.14.2,4,2,8.3,post,11.5,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.14.4,4,4,9.2,post,11.6,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.14.5,4,5,8.2,post,10.7,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.14.6,4,6,6.2,post,9.9,29/09/2010,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.15.1,5,1,11.3,post,3.1,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.15.2,5,2,10.8,post,6.8,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.15.3,5,3,11.3,post,3.0,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.15.4,5,4,9.7,post,6.2,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.15.5,5,5,10.7,post,0.6,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.15.6,5,6,11.2,post,3.9,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.16.1,6,1,11,post,0.8,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.16.3,6,3,10.3,post,2.4,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.16.4,6,4,9.5,post,2.5,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.16.5,6,5,8.2,post,5.1,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.16.6,6,6,10.2,post,1.4,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.17.1,7,1,10.3,post,1.1,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.17.2,7,2,11.5,post,1.0,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.17.3,7,3,10.8,post,1.0,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.17.4,7,4,10.8,post,5.2,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.17.5,7,5,10,post,1.8,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.17.6,7,6,10.7,post,0.5,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.18.1,8,1,12.8,post,9.8,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.18.2,8,2,8.2,post,7.5,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.18.3,8,3,11.7,post,11.3,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.18.4,8,4,11.2,post,4.6,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.18.5,8,5,9.3,post,4.5,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.18.6,8,6,10,post,11.8,19/09/2010 ?,10/10/2010,25.5,Leis in prep,,,,,,,
