Location,Region,species abbreviation,species,genus,family,fish ID,run,lane,size (BL),stage,Ucrit,cohort date,measurement date,temperature ,publication,,,comment,,,,note to Becky
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.4.1,4,1,12,post,18.0,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,"in a few cases, 2 larvae were swum in the same lane - in such cases the difference in size enabled the  swim performances of the individuals to be determined"
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.4.2,4,2,10.5,post,12.4,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.4.3,4,3,12,post,16.2,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.4.4,4,4,11.5,post,13.9,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.4.5,4,5,11,post,16.7,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.4.6,4,6,11,post,19.0,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.5.1,5,1,12,post,7.6,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.5.2,5,2,11,post,12.6,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.5.3,5,3,10.5,post,15.1,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.5.4,5,4,7.5,post,0.8,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.5.5,5,5,12.5,post,19.6,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.5.6,5,6,11.3,post,2.9,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.6.1,6,1,11,post,0.4,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.6.2,6,2,9.5,post,2.1,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.6.3,6,3,9.5,post,8.7,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.6.4,6,4,11,post,3.7,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.6.5,6,5,10.5,post,0.4,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.6.6,6,6,10,post,18.0,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.1a,7,1a,11.5,post,18.4,12/09/2010,3/10/2010,28,Leis in prep,,,2 fish in lane 1,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.1b,7,1b,7.5,post,4.3,12/09/2010,3/10/2010,28,Leis in prep,,,2 fish in lane 1,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.2a,7,2a,12.5,post,8.7,12/09/2010,3/10/2010,28,Leis in prep,,,2 fish in lane 2,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.2b,7,2b,10.3,post,8.7,12/09/2010,3/10/2010,28,Leis in prep,,,2 fish in lane 2,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.3b,7,3a,12,post,18.2,12/09/2010,3/10/2010,28,Leis in prep,,,2 fish in lane 3,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.3b,7,3b,10,post,17.8,12/09/2010,3/10/2010,28,Leis in prep,,,2 fish in lane 3,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.7.4,7,4,10,post,16.2,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.7.5,7,5,10.3,post,0.2,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.7.6,7,6,8,post,0.6,12/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.8.1,8,1,6.3,post,5.4,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.8.2,8,2,7.6,post,8.9,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.8.3,8,3,7.3,post,10.4,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.8.4,8,4,6.5,post,8.0,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.9.1,9,1,6.4,post,9.1,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.9.2,9,2,6.4,flex,0.6,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.9.3,9,3,6.3,post,10.2,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
LAU,Red Sea,Psfrid,fridmani,Pseudochromis,Pseudochromis fridmani,45584.9.4,9,4,6.3,post,5.7,19/09/2010,3/10/2010,28,Leis in prep,,,,,,,
