species_id,fish_id,hw,TLmm,SLmm,BDmm,PAmm,BAmm,wg,CPDmm,CFDmm,Mamm,CFAmm
acacoe,tci03nov19n,3.9,36.90616709,29.46829823,19.04434458,337.5920926,394.1173817,1.06,,,,
acacoe,tci03nov21l,3.6,34.26777681,28.06956288,17.67138924,315.3135397,324.1863402,0.91,,,,
acacoe,tci03nov21p,3.6,34.36858584,28.40059141,18.85632284,348.7337645,335.4134418,0.88,2.852598091,11.70024744,169.4625965,65.5047124
acacoe,tci03nov23c,3.9,35.33709204,28.9930914,18.5881045,362.0802041,370.296688,1.09,,,,
acacoe,tci03nov23d,4.2,35.21801044,28.72177392,19.2412016,380.174166,373.7825976,1.13,,,,
acacoe,tci03nov23h,3.9,37.28149235,30.90966254,19.5011528,477.350679,418.1303168,1.24,,,,
acLIa,24/11/00j34,3.4,31.49271657,24.88687432,16.58414691,262.8105731,274.4711975,,2.086804568,9.753322225,141.503502,47.36216232
acLIa,24/11/00j35,3.9,32.25091884,25.76768981,17.76265687,260.2608219,284.7701851,,2.061043757,9.901963988,117.095811,33.79355355
acLIb,17/11/01j37,3,28.68745088,23.39533665,15.47943411,185.5411676,239.5355115,,1.9098599,8.127676447,113.6859676,30.89981482
acLIb,29/11/00j31,2.55,25.06475149,22.23543351,13.15816825,159.425156,228.6513349,,2.368421053,10.39539474,87.7683518,35.68646122
anHsp1,05LARV0093,1.5,7.200598802,5.169660679,3.037674651,8.917419652,10.58262716,0,1.150199601,1.501996008,5.306876267,2.770158286
anHsp2,05LARV0285,2.3,11.00780501,9.085307408,4.128440367,22.98729498,25.44352308,0.02,1.232370259,2.19088046,12.63738729,4.856206689
anHsp2,05LARV0291,2.6,13.00364816,10.34860154,5.179029861,21.8166014,35.63682504,0.05,0.955276314,1.910552628,15.37203211,5.714306475
apacya,20/12/00j16,0.85,10.48837944,8.506708035,2.127610675,12.60227153,12.7194655,,,,,
apacya,20/12/00j18,1.1,10.85011944,9.206210859,2.261766415,14.07720551,15.46288647,,1.134259259,2.235263432,8.421544756,3.657104507
apacya,29/11/01j37,0.7,10.8737252,8.858149453,2.177730391,12.15580876,13.21410627,,0.936840212,1.92225031,6.525128493,2.002725822
apacya,JML03/31.12.1,1.55,14.08,11.04,2.81,20.14,21.48,,,,,
apacya,JML03/31.12.2,2,13.78,11.01,2.99,21.18,22.41,,,,,
apacya,JML03/31.12.3,1.9,15.68,12.37,3.21,25.22,29.07,,,,,
apacya,JML03/31.12.4,1.8,15.32,12.15,3.21,25.9,26.32,,,,,
apacya,JML03/31.12.5,2.7,14.36,11.93,3.02,24.46,24.04,,,,,
apacya,JML03/31.12.6,1.45,13.69,11.03,2.57,19.05,20.68,,,,,
apacya,JML03/1.1.3,1.7,14.49,11.43,2.69,17.89,21.33,,,,,
apacya,JML03/1.1.4,1.85,14.36,11.42,2.89,21.15,23.66,,,,,
apacya,12/12/01j20,1.2,11.39929447,10.08814142,2.588413158,13.83078948,19.19028143,,,,,
apacya,JML03/1.1.5,1.6,13.19,10.57,2.65,17.73,19.87,,,,,
apacya,JML03/1.1.6,1.6,13.82,13.98,2.96,20.36,22.08,,,,,
apamac,05LARV0082,2.8,19.80934809,15.7503075,5.78597786,72.6055231,67.90031,0.07,2.831488315,5.413284133,41.01553931,20.37917058
apamac,05LARV0189,2.4,19.54284287,15.66824881,5.002498126,55.19842132,56.49335319,0.08,2.248313765,3.749687734,24.96254215,12.09123135
apamac,05LARV0228,3.2,19.91204819,15.87108434,6.386746988,73.95848454,75.33749456,0.08,2.781927711,6.26626506,37.53810422,21.96254899
apamac,05LARV0229,2.3,19.98795906,16.01204094,5.298013245,58.93608407,58.53012826,0.06,2.649006623,3.975918122,30.43218708,13.29505267
apamac,05LARV0029,2,13.23099065,10.3298153,3.036699448,23.1724396,23.94916942,0.01,1.68385704,2.51858959,12.49959653,5.206966565
apamac,05LARV0031,1.4,11.31354901,8.505229871,3.164680126,14.95533724,17.49966761,0,1.337873997,,9.629994602,
apamac,05LARV0038,1.5,13.71690978,10.06482982,3.85467315,27.38547009,30.40904489,0.01,1.958400864,2.435170178,16.13029271,5.5774238
apamac,05LARV0066,2.4,19.476969,15.13465844,5.572891934,69.66039272,63.98153135,0.07,2.917034123,5.224204599,33.54393886,18.10884887
apapla,05LARV0087,2.4,20.9886972,17.4015467,5.591909578,54.89494688,63.35992322,0.06,2.983938132,4.560380726,30.60414522,15.82582533
apapla,05LARV0230,,18.67691199,15.30675951,4.856525393,55.28147779,57.48697091,,2.323208068,3.844399088,28.62816555,12.00768475
apapla,05LARV0005,2.9,19.97069011,16.20303757,5.5209166,,59.70887204,0.07,2.196909139,,35.87147158,
apapun,05LARV0134,,,,,,,,,,,
apapun,05LARV0135,,,,,,,,,,,
apapun,05LARV0136,,,,,,,,,,,
apapun,05LARV0149,,,,,,,,,,,
apapun,05LARV0195,,,,,,,,,,,
apapun,05LARV0207,1.2,8.67990373,6.663056558,2.749699158,14.19136036,13.46731136,0,1.227436823,2.409145608,6.87846548,3.794016749
apapun,05LARV0208,1.1,8.279224787,6.921367732,2.71818294,12.0073993,13.75974818,0,1.118380447,2.098506357,6.978919898,2.925660743
apapun,05LARV0209,1,8.373170732,6.265853659,3.053658537,11.98691255,12.58179655,0,1.041463415,1.508536585,6.186793575,2.55800119
apapun,05LARV0212,1.5,9.745318352,8.247191011,2.746566792,16.00683291,18.32914849,0,1.395755306,1.872659176,8.821682011,2.821067922
apapun,05LARV0234,,,,,,,,,,,
apapun,05LARV0238,,,,,,,,,,,
apapun,05LARV0022,2.1,17.6567733,13.72906802,5.573391847,51.05478478,46.13335961,0.04,1.963275205,3.711745005,18.64539946,12.48361509
apapun,05LARV0047,2.2,16.70415454,12.3055041,4.896136544,34.42111708,45.17853675,0.04,2.118285261,2.929346388,20.3069273,8.542914244
apapun,05LARV0048,2.3,17.17514505,13.68101471,4.895425719,52.65561167,45.34081499,0.04,2.118472541,4.026447173,21.0203678,12.18070685
apapun,05LARV0010,1.6,14.31266522,10.34486902,4.113193944,31.53531774,32.71933608,0.03,1.806056236,2.76616198,21.64443282,
apapun,05LARV0020,2.1,15.70829338,11.96428571,4.499041227,36.68362981,39.78608244,0.03,1.703020134,2.967401726,18.5428998,6.923065609
apapun,05LARV0021,2.1,17.99374131,13.99165508,5.411451089,62.00768637,53.43729991,0.03,2.329624478,5.297867408,23.58871258,16.30791405
apaqua,05LARV0205,2.6,25.42393265,20,6.744437763,94.57728229,94.3314016,0.12,3.325020781,5.664461816,56.24882258,22.20157949
apaqua,05LARV0231,1.9,19.77294118,15.39411765,4.947058824,55.12802768,53.55017301,0.05,2.352941176,3.810588235,29.1349481,14.25605536
apaqua,05LARV0232,1.8,20.81044957,16.54191981,5.469015796,57.90391376,60.85668855,0.06,2.925880923,3.905224787,32.76103636,13.19890334
apaqua,05LARV0233,2.3,22.41010222,18.13950692,5.570655442,74.48738397,69.65655169,0.06,2.808177992,4.905592303,44.24405972,13.11845772
apaqua,05LARV0256,,,,,,,,,,,
apaqua,05LARV0257,,,,,,,,,,,
apaqua,05LARV0258,,,,,,,,,,,
apaqua,05LARV0259,,,,,,,,,,,
apaqua,05LARV0260,,,,,,,,,,,
apaqua,05LARV0261,,,,,,,,,,,
apaqua,05LARV0270,1.9,19.13465539,14.83289419,5.011787547,51.8283972,48.0398279,0.04,2.241020663,4.031341007,25.40456872,13.38499608
apaqua,05LARV0274,,,,,,,,,,,
apaqua,05LARV0276,,,,,,,,,,,
apaqua,05LARV0278,,,,,,,,,,,
apaqua,05LARV0284,2.2,22.75183594,18.53817376,5.266731329,68.73368307,64.91301186,0.08,2.785090758,4.468615768,37.5539341,15.97386154
apaqua,05LARV0036,2.3,19.34330209,15.09440463,5.596747519,51.25401295,64.48774781,0.06,2.687431092,3.743798236,29.91954193,11.26790557
apaqua,05LARV0046,2.4,22.24765117,18.1076849,6.022645146,73.58915003,79.85699562,0.06,2.900505902,4.951818839,40.97313874,12.82586921
apaqua,05LARV0061,2.2,22.6500379,17.8564046,5.553641563,62.05752117,77.81997013,0.06,2.984910081,4.70681458,39.99958809,17.55708923
apaqua,05LARV0007,1.9,19.60875413,14.82577332,4.769531728,53.84474098,54.36794085,0.04,2.447731997,3.676488568,28.26774158,14.55990497
apaqua,05LARV0009,1.8,17.52080856,13.23900119,5,46.47374947,47.40690051,0.03,2.378121284,4.281807372,26.77860709,11.16953516
apaqua,05LARV0011,1.8,18.22934233,13.65213202,4.703685859,46.42848583,47.11040421,0.03,2.288605155,3.974945796,27.71200248,12.92743152
apatri,JML03/17.12.15,1.8,16.86,13.68,3.68,30.2,37.16,,,,,
apatri,JML03/17.12.18,1.95,16.58,13.27,3.64,26.96,33.11,,,,,
apatri,JML03/19.12.2,1.85,16.67,13.1,3.78,28.42,34.19,,,,,
apatri,JML03/19.12.5,1.8,16.7,13.36,3.71,34.13,37.47,,,,,
apatri,JML03/19.12.8,1.85,17.08,13.49,3.79,30.84,36.76,,,,,
apatri,12/12/01j14,1.8,9.889368283,7.65459003,2.475461551,9.696565758,13.2298199,,1.144745445,1.769425153,5.683622769,2.573997312
apatri,14/12/01j34,1.9,16.38586667,13.01573333,3.737333333,38.55804444,36.98115556,,1.982351173,4.005409393,20.68306594,9.255253563
apatri,17/11/01j24,1.7,15.13334567,12.47497544,3.460295311,31.06422963,33.23133173,,,,,
apatri,18/11/01j28,1.3,14.49364188,12.01888448,3.099700101,24.71505601,26.75460638,,,,,
apHuknown,05LARV0088,1.3,14.12490743,10.78992841,3.95211059,26.47678778,30.89466376,0.01,1.732905455,2.849913602,15.31022538,5.834643107
apHuknown,05LARV0096,,,,,,,,,,,
apHuknown,05LARV0097,1.6,13.34777377,10.10709988,3.76654633,28.15102504,26.77533194,0.01,1.836341757,2.806257521,15.94355893,6.907427439
apHuknown,05LARV0098,1.6,13.3517739,10.46301864,3.730607336,26.71421324,27.98700738,0.02,1.563439567,2.909200241,12.30849782,7.31856627
