fish_id,TLmm,SLmm,hw,BDmm,PAmm,BAmm,wg,CPDmm,CFDmm,Mamm,CFAmm
23/12/01j38,29.26987084,25.22511703,3.3,7.793926619,150.2155074,143.2918272,NA,NA,NA,NA,NA
23/12/01j4,28.0329985,24.22455877,2.9,8.030182125,137.383098,132.8927306,NA,NA,NA,NA,NA
23/12/01j42,28.56121576,25.1351944,2.85,8.035788689,143.4546768,143.9033529,NA,NA,NA,NA,NA
24/12/01j29,29.12391495,24.82273481,3.2,8.290744172,156.8290646,140.1273614,NA,NA,NA,NA,NA
24/12/01j34,29.36634758,25.43202432,3.1,8.306575212,155.7988424,154.2863303,NA,NA,NA,NA,NA
tci03oct25k,32.33668688,26.69032525,2.7,8.755512679,163.5864369,169.6786084,0.54,3.102793217,7.961725181,102.9160187,31.07281623
19/12/01j31,27.19290396,22.03194559,2.8,8.466029843,119.6008726,128.1936947,NA,2.691844114,6.11311995,60.35265095,24.8777014
22/12/01j19,26.33452457,21.49172824,3.05,7.427722454,112.4148887,118.3495796,NA,2.70242393,5.442337446,54.13894735,22.35900203
23/12/01j14,27.12219512,22.88682927,2.9,8.109512195,130.1713266,126.5365854,NA,NA,NA,NA,NA
23/12/01j27,27.98236479,22.91351339,2.85,8.61047467,152.6782541,143.0206059,NA,NA,NA,NA,NA
24/12/01j10,26.10270726,21.68755004,3.2,8.319158605,129.7694352,128.5962824,NA,NA,NA,NA,NA
24/12/01j20,26.53059889,22.25722701,3.2,8.652994437,144.3574746,135.8204426,NA,NA,NA,NA,NA
26/12/01j33,21.47775041,17.77078202,2.85,6.536175256,84.47560924,81.69587681,NA,NA,NA,NA,NA
05larv0079,27.17833232,22.78880097,3.6,8.057212416,127.7445879,149.0230043,0.16,2.799756543,5.600730371,62.23492276,24.90878694
05larv0125,27.74878049,22.88902439,3.1,8.03902439,120.0029744,133.9678763,0.18,2.815853659,6.315853659,66.09161214,26.1600238
05larv0126,30.27104671,24.63777167,3.2,9.250562078,127.7458094,172.0387201,0.22,3.038970772,5.794404197,80.48859683,24.6037056
05larv0128,18.33194527,14.99821535,2.2,6.067816776,54.00315172,64.93118137,0.06,1.788221297,3.809637121,28.76393297,12.45682137
05larv0204,32.09626955,27.14921781,3.89,9.393501805,178.3187872,186.5005409,0.33,3.507821901,10.00601685,85.71292036,35.72457755
05larv0206,27.01663586,22.21072089,3.1,8.394331485,125.1571202,135.3616319,0.2,2.600123229,6.849044978,67.05821924,28.86722708
05larv0320,19.25842697,16.50062422,2.2,6.013732834,61.08157562,69.7162255,0.04,2.122347066,3.747815231,30.813543,9.445122436
05larv0086,19.68142681,16.48093481,2,5.659286593,54.28393767,62.0603992,0.05,1.848708487,2.217712177,32.70955219,11.87650253
05larv0121,24.68658537,19.79512195,2.5,6.846341463,92.05829863,111.6745985,0.12,2.465853659,4.513414634,53.09339679,18.47114813
05larv0122,19.17349398,16.02048193,1.8,5.203614458,48.45405719,61.69255335,0.04,1.942168675,3.78313253,25.76571346,10.5530556
05larv0129,21.12341432,17.21565255,1.9,5.70629972,61.70313789,71.8733498,0.07,2.053321866,3.416469576,33.81595458,12.97857723
05larv0268,18.77513711,15.72577697,1.7,5.118829982,48.48339009,60.82704731,0.05,1.828153565,3.168799512,32.60448568,8.719286147
tci03nov23a,22.86264442,17.94672657,1.8,5.718870347,64.36611897,75.07732668,0.08,2.210428305,4.18125388,34.70090983,10.06811874
tci03oct25j,23.93279645,19.48181061,2,6.149402944,63.27656986,80.10055524,0.15,2.219844144,4.466578861,38.35968783,11.64915384
05larv0060,20.13907642,16.18822576,2.4,5.773021874,64.24931242,69.81460828,0.05,2.573588982,5.217391304,35.65253418,18.44615262
05larv0162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jml03/13.12.15,19.05,14.79,2.15,7.62,74.32,84.68,NA,1.854809349,2.782214024,29.83907604,9.575278648
12/12/01j12,33.87090288,38.9037469,2.65,30.56169985,275.0188507,339.210246,NA,2.196231446,6.077723966,46.93395336,21.86227221
12/12/01j15,18.32337152,14.14518067,2,7.443634324,56.97152581,71.08312848,NA,NA,NA,NA,NA
12/12/01j16,22.08309018,17.79525968,2.55,8.491942362,97.54471187,107.4260307,NA,NA,NA,NA,NA
12/12/01j3,23.28446677,18.70661961,2.5,9.845255871,99.66748141,118.9896614,NA,NA,NA,NA,NA
12/12/01j37,19.31524381,15.54083885,2.3,7.732453767,63.64863476,83.86960632,NA,NA,NA,NA,NA
12/12/01j39,21.34475953,16.74138745,2.45,8.712514479,91.13682299,98.30907037,NA,NA,NA,NA,NA
12/12/01j40,22.17156841,17.50414646,2.7,9.163728645,89.59559913,107.4092467,NA,NA,NA,NA,NA
16/12/01j10,27.87360359,22.30223652,3.1,11.42076998,162.6267808,171.7829228,NA,NA,NA,NA,NA
16/12/01j14,19.7402863,14.19427403,2.95,6.838445808,81.34542763,72.01751415,NA,NA,NA,NA,NA
16/12/01j3,26.38355263,21.25,3,10.00087719,149.2141813,151.8592259,NA,NA,NA,NA,NA
24/11/00j25,21.30923279,16.62889416,1.6,9.89101769,97.75214611,101.7580583,NA,NA,NA,NA,NA
26/11/00j25,25.92994357,20.19794743,1.77,10.63682348,100.9465264,142.3243604,NA,NA,NA,NA,NA
12/12/01j29,31.43306753,25.72936089,2.4,9.549199296,129.4820993,157.5102538,NA,3.143794134,7.04318849,59.22198695,36.2460831
12/12/01j30,23.68808364,19.69623627,2.05,7.318942118,81.95364158,94.33907544,NA,2.053265619,6.166095823,35.34581251,20.34722602
16/11/01j16,28.89742624,23.70546139,2.4,10.91726303,117.4031554,168.5730375,NA,NA,NA,NA,NA
16/11/01j19,30.1282415,26.25092209,2.9,12.03313851,154.1680784,194.135702,NA,NA,NA,NA,NA
16/11/01j20,25.16022044,20.25111593,2.3,8.278097803,66.14989628,116.7086273,NA,NA,NA,NA,NA
24/12/01j6,26.38355263,32.01730104,3.75,14.36055363,265.824164,287.6833371,NA,NA,NA,NA,NA
05larv0063,10.42588155,8.708661417,1.2,3.976720301,15.80358548,22.91543335,0,0.890106128,1.370763437,9.319943026,1.767413743
05larv0064,13.27793934,10.94239025,1.5,4.92037114,28.04795389,37.646587,0.01,1.317684531,2.332779393,15.97055289,3.130822887
05larv0018,10.88822475,9.067543335,1,4.121936641,17.69248166,28.36799361,0.01,0.910938434,1.398684997,13.84815406,2.343753629
05larv0101,25.58471965,21.01910043,2.5,8.134319162,89.77540584,115.5752053,0.11,2.218114603,3.822550832,57.81038059,16.49121968
05larv0142,27.28960838,23.22699679,2.7,9.766694441,93.21759993,139.224219,0.08,2.621116534,5.595762409,53.72870329,21.29594964
05larv0188,28.73007842,23.71869466,3.1,8.981785985,92.00888072,138.725266,0.24,2.28054642,4.308120415,54.02781954,18.49456896
05larv0042,10.73603389,9.13489542,1.4,4.505559968,17.30984095,27.95598458,0.01,1.323801959,1.403891978,9.91887621,1.629780013
05larv0017,11.05523994,9.770337242,1.3,3.754381724,20.99571744,27.01536643,0.01,1.039526169,1.455336637,11.46947682,1.782517417
jml03/1.1.2,23.29,19.94,2.5,5.79,96.27,83.25,NA,2.23566776,3.881725015,40.73271171,12.34829703
05larv0099,25.27316486,20.80625752,2.8,11.22262335,95.87856829,155.0333714,0.23,2.527075812,4.332129964,55.95450655,19.24522236
tci03oct26f,19.40434193,16.23617707,1.9,8.203951832,53.71407483,82.14682608,0.11,1.652686489,4.397183099,24.42207098,9.898965656
05larv0004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/12/00j2,49.3081203,41.8496597,2.8,9.384291707,316.5326231,281.448431,NA,4.741981021,10.82346483,187.5107622,54.35056674
23/12/01j16,17.31099872,14.47867054,2.1,3.857734786,43.68942024,43.12909876,NA,1.873433493,3.700795387,23.1013787,9.792042612
23/12/01j21,17.15202999,14.37212518,2,3.781473505,42.65236872,39.81885682,NA,1.761749217,3.825078328,25.4630937,8.961116256
23/12/01j39,17.99882982,14.93263544,1.8,4.176602676,50.39928732,46.42733866,NA,NA,NA,NA,NA
24/12/01j36,17.59752322,13.7879601,1.95,4.695424837,44.22344367,44.35465252,NA,NA,NA,NA,NA
6/12/01j40,14.44124294,11.96680791,1.6,3.460310734,32.88626353,33.08496122,NA,1.756687463,2.949747885,19.9071496,6.794643702
jml03/13.12.14,16.81,14.05,2.3,4.55,45.14,45.76,0.041,1.975632051,2.7440139120000002,26.74660755,6.826322155
jml03/14.12.1,15.92,13.21,NA,3.79,36.4,36.19,NA,NA,NA,NA,NA
jml03/15.12.19,15.7,13.23,2,3.92,41.12,37.86,NA,NA,NA,NA,NA
jml03/17.12.10,15.34,12.5,1.95,3.92,33.97,33.72,NA,NA,NA,NA,NA
jml03/17.12.8,26.96,23.39,3,7.82,132.56,124.33,NA,NA,NA,NA,NA
jml03/24.12.14,12.13,10.18,1.7,2.97,18.55,20.78,NA,NA,NA,NA,NA
jml03/24.12.16,13.29,10.89,1.75,3.26,22.71,24.45,NA,NA,NA,NA,NA
jml03/24.12.18,13.26,10.93,1.75,3.07,24.2,23.4,NA,NA,NA,NA,NA
jml03/24.12.20,13.36,11.15,1.9,2.81,22.42,24.99,NA,NA,NA,NA,NA
15/12/01j22,18.44581952,15.26747698,2.1,4.727808471,51.53422939,52.67791988,NA,NA,NA,NA,NA
15/12/01j39,18.39907937,15.51680848,2.25,4.392802343,53.12060161,49.19936956,NA,NA,NA,NA,NA
15/12/01j42,17.35050019,14.40036187,1.85,4.099985578,48.80970327,44.13431063,NA,NA,NA,NA,NA
18/11/01j40,15.46626156,12.87791953,1.7,3.716124759,36.96731409,34.87867038,NA,NA,NA,NA,NA
28/11/00j18,16.53264569,14.00308739,2.3,3.935024383,44.51848192,40.67010778,NA,NA,NA,NA,NA
22/11/01j7,21.23247044,17.3103665,2.4,7.505401265,78.45159445,91.52641013,NA,1.59102001,5.542606149,34.96836057,16.63719116
10/12/01j21,17.78830128,14.35400641,2.5,6.6125,43.61516889,67.48926488,NA,1.735437866,4.162326737,23.6463583,10.18209805
16/11/01j15,20.91355641,16.43436293,2.9,8.3243243240000009,69.30629839,92.94457171,NA,NA,NA,NA,NA
24/11/01j24,15.90897418,12.45630731,2.2,6.159574629,49.0992459,52.50500823,NA,NA,NA,NA,NA
27/12/00j20,24.11158117,20.23744051,2.4,8.287678477,116.7600376,109.9561199,NA,NA,NA,NA,NA
05larv0043,5.758509871,4.92883846,1.9,1.906604578,4.374739045,7.011626985,0.01,0.655866728,0.767364072,2.520744425,0.585019184
05larv0058,6.52567154,4.809248555,1.4,2.086365182,7.769252282,9.54045682,0,0.795647739,0.944576675,3.32043044,1.378117369
05larv0059,6.830511931,4.999660072,1.5,2.067441702,6.327572825,7.446106516,0,0.795431369,1.552110952,3.572836957,2.500523666
05larv0244,8.244256636,7.341787587,4.8,5.854164126,15.16584273,31.53603179,0.08,0.731618095,1.219363492,4.296988773,1.754479845
05larv0245,8.195667698,7.36253273,4.8,5.84265651,8.65517505,31.23512436,0.09,0.841466318,0.952154249,5.439586283,1.161578321
05larv0247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05larv0266,9.295459892,8.095742178,5.1,6.7043048689999996,16.04781052,39.96734879,0.11,0.715125853,1.182074806,8.120745497,2.310331342
05larv0267,8.797110175,8.074653823,4.8,6.266104756,13.15006845,34.89770095,0.08,0.60204696,1.204093919,7.031734508,1.797804287
05larv0286,9.353751054,7.969935375,5.1,6.327620118,14.66468864,37.34265263,0.1,0.842933408,1.264400112,6.454041971,1.657919038
05larv0302,7.678064436,6.539933342,4.1,5.309221084,8.548414984,26.77284336,0.06,0.617207752,0.987532403,4.937052504,1.081884962
05larv0303,7.588477366,6.64079953,4,5.075837743,8.073543902,25.43719312,0.06,0.484420929,0.633744856,4.783298271,0.649754389
05larv0304,7.619331032,6.752767528,3.6,5.124389954,7.778760049,25.41911754,0.05,0.71420069,0.84156648,2.805454444,0.835968748
05larv0311,7.686046512,7.297072126,4,5.389193049,9.009314782,28.34534415,0.05,0.841466318,0.952154249,4.957956248,0.481630035
05larv0312,7.619331032,6.54088799,4.1,5.238662064,7.750422125,26.11339667,0.06,0.357100345,0.952267587,3.00381991,1.176023833
05larv0313,6.682111938,5.820021949,3.7,5.022558225,5.382387321,22.54060547,0.04,0.502377759,0.853554445,3.776592209,0.713686717
05larv0287,7.216752184,6.523367078,3.9,5.009014006,9.211800466,24.55839081,0.05,0.554708085,0.693385106,4.173195618,0.692327384
05larv0241,21.51937793,17.93137497,2.9,9.751913108,120.8669932,123.5329529,0.2,2.480868921,6.324364354,58.83392083,20.38316574
05larv0281,25.21926173,21.72495143,2.9,11.22536775,157.0105832,158.8400945,0.27,3.065500971,7.653344435,89.2801501,29.96546884
jml03/1.1.1,15.01,12.36,2.2,6.42,61.07,58.61,NA,NA,NA,NA,NA
20/12/01j25,16.04444294,13.54861369,2,6.218634967,61.60066448,58.2448684,NA,1.693906252,3.826649736,32.72307969,9.219136954
20/12/01j41,16.03008673,13.48148351,1.85,6.302045514,60.42109757,60.58271505,NA,1.590992535,4.21150682,34.10753106,9.832868381
20/12/01j5,16.77506895,14.07577836,2.05,6.460038641,71.10038107,62.92070276,NA,NA,NA,NA,NA
23/12/01j19,15.75753552,13.23250564,1.95,6.068251228,62.65784688,62.503393,NA,NA,NA,NA,NA
23/12/01j31,16.79920121,13.80030299,2.1,6.777027958,75.03226207,66.78733581,NA,NA,NA,NA,NA
26/12/01j40,17.10687135,14.48070175,2.25,6.813157895,85.18240655,75.69508567,NA,NA,NA,NA,NA
jml03/24.12.13,11.82,9.6,1.45,3.78,22.2,23.22,NA,NA,NA,NA,NA
jml03/24.12.15,11.58,8.87,1.4,3.26,20.17,20.83,NA,NA,NA,NA,NA
jml03/24.12.17,13.06,10.34,1.75,4.12,27.06,29.61,NA,1.429015464,2.506022224,17.15369745,5.042496804
jml03/24.12.19,13.32,10.31,1.7,4.17,26.59,28.45,NA,1.368659824,2.807544512,16.87528653,4.476939493
jml03/24.12.21,13.55,10.83,1.8,3.96,25.03,30.18,NA,NA,NA,NA,NA
jml03/24.12.22,12.18,9.53,1.75,4.24,24.77,25.69,NA,NA,NA,NA,NA
19/11/01j9,10.40091471,8.073696793,1.25,3.11054519,19.64052988,19.28041586,NA,1.260188088,2.321630094,9.691553957,4.660047672
ameljcub1,7.5558,NA,NA,2.0396,9.1903,9.1761,NA,NA,NA,NA,NA
